stabbr,hgroup,pgroup,hnum,pnum,hpratio,popshare
CA,"[0,25)","[0,5)",31413.869806990395,144199,0.21785081593485667,0.0579114310407423
CA,"[25,35)","[0,5)",209907.00522451405,970024,0.21639362038930382,0.38956912311364855
CA,"[35,45)","[0,5)",179686.28699894875,883800,0.20331102851204882,0.35494089940851214
CA,"[45,55)","[0,5)",48503.06678370649,278576,0.17411071586822444,0.1118782710948469
CA,"[55,65)","[0,5)",22669.031680192013,144093,0.15732222717406127,0.057868860622845374
CA,"[65,75)","[0,5)",8207.260950616292,53155,0.15440242593577821,0.02134745814444384
CA,"[75,100)","[0,5)",2492.031746031746,16145,0.15435315862692758,0.0064839565749608835
CA,"[0,25)","[5,10)",8249.295924663571,39680,0.2078955626175295,0.01572051709725089
CA,"[25,35)","[5,10)",152795.09563181916,683233,0.22363541519777172,0.2706848804915831
CA,"[35,45)","[5,10)",249263.77823255176,1127797,0.22101830225878571,0.44681330697399857
CA,"[45,55)","[5,10)",99633.27154144875,450126,0.22134529340995354,0.17833199291625892
CA,"[55,65)","[5,10)",27446.776150835747,145812,0.18823400097958842,0.05776814614375874
CA,"[65,75)","[5,10)",10452.113973178524,59026,0.17707644043605403,0.023385061546933747
CA,"[75,100)","[5,10)",3294.073731823732,18416,0.17887020698434689,0.007296094830216039
CA,"[0,25)","[10,15)",2675.4778450307863,15706,0.1703475006386595,0.006177676035840433
CA,"[25,35)","[10,15)",74204.78649895855,348566,0.21288589965446586,0.13710224278038688
CA,"[35,45)","[10,15)",237726.23123077903,1085810,0.21893906966299723,0.4270840708312683
CA,"[45,55)","[10,15)",191061.4858482204,809322,0.23607598193082657,0.31833242866919975
CA,"[55,65)","[10,15)",42117.913256106636,193947,0.21716197340565535,0.07628560640030208
CA,"[65,75)","[10,15)",12547.035940229362,65702,0.19096885848572892,0.025842714307066608
CA,"[75,100)","[10,15)",4545.7632617382615,23327,0.19487131914683678,0.009175260975935934
CA,"[0,25)","[15,20)",31870.325313575315,96566,0.3300367138907619,0.03951273384041464
CA,"[25,35)","[15,20)",23895.557470797175,113561,0.21042045658982553,0.046466722942353704
CA,"[35,45)","[15,20)",173568.73005523888,783565,0.22151159132329656,0.3206179741489189
CA,"[45,55)","[15,20)",246624.36210929594,1012074,0.24368214390380144,0.4141189506534786
CA,"[55,65)","[15,20)",81198.61106820597,327359,0.24804148066253245,0.1339482741054232
CA,"[65,75)","[15,20)",17703.08515599897,79316,0.22319689792726527,0.032454404213556824
CA,"[75,100)","[15,20)",7118.731107781107,31480,0.22613504154323721,0.012880940095854162
CA,"[0,25)","[20,25)",263094.29747425776,666543,0.3947146657818892,0.24546146540431873
CA,"[25,35)","[20,25)",59201.89334309482,208866,0.28344437746255885,0.0769170997717153
CA,"[35,45)","[20,25)",62721.83352023793,336643,0.1863155732340727,0.12397232301307803
CA,"[45,55)","[20,25)",176033.28848545245,870579,0.20220254392243833,0.3205998669106515
CA,"[55,65)","[20,25)",106915.25363216075,483475,0.22113915638277212,0.17804475028070657
CA,"[65,75)","[20,25)",22612.861981564187,106923,0.21148735053790285,0.03937551855683125
CA,"[75,100)","[20,25)",9033.408838383839,42440,0.21285129213911025,0.01562897606269856
CA,"[0,25)","[25,30)",28789.408423929013,111500,0.2582009724119194,0.03814715015128852
CA,"[25,35)","[25,30)",642588.9014692823,1527881,0.42057522900623956,0.5227292010789314
CA,"[35,45)","[25,30)",35730.0349969475,156537,0.22825296892713862,0.053555519670244404
CA,"[45,55)","[25,30)",82276.25767786136,463597,0.1774736628534295,0.15860900779091394
CA,"[55,65)","[25,30)",98411.33342916114,497059,0.19798722773184096,0.17005725835918672
CA,"[65,75)","[25,30)",25209.172217161922,126144,0.1998444017722755,0.043157256580126806
CA,"[75,100)","[25,30)",7859.8200133200135,40174,0.19564444698859992,0.013744606369308205
CA,"[0,25)","[30,35)",6547.387751137751,28881,0.22670225238522737,0.010395089713932573
CA,"[25,35)","[30,35)",712822.7500683956,1781784,0.40006125886661664,0.641314515801033
CA,"[35,45)","[30,35)",85922.15882973236,319164,0.2692100576184418,0.11487616126372271
CA,"[45,55)","[30,35)",32734.684460555785,171561,0.1908049292120924,0.06174966193732856
CA,"[55,65)","[30,35)",59826.2697582775,315136,0.1898427020660207,0.11342637000414997
CA,"[65,75)","[30,35)",25280.18848696883,128847,0.19620315946020342,0.046375683818810645
CA,"[75,100)","[30,35)",6634.857864357864,32958,0.20131251484792353,0.011862517461022463
CA,"[0,25)","[35,40)",2735.263804006451,14361,0.1904647172206985,0.00560061649290105
CA,"[25,35)","[35,40)",62616.10748761043,233137,0.2685807378820626,0.09092061327940061
CA,"[35,45)","[35,40)",645778.3726481035,1836994,0.35154081757921013,0.7164054657586708
CA,"[45,55)","[35,40)",33783.0903188315,141061,0.23949277489051898,0.05501208572558422
CA,"[55,65)","[35,40)",33989.98273703421,178508,0.19041153750551354,0.06961596329745705
CA,"[65,75)","[35,40)",24739.781606057342,127180,0.19452572421809516,0.04959866343340683
CA,"[75,100)","[35,40)",6652.836868686869,32941,0.20196220116835764,0.01284659201257945
CA,"[0,25)","[40,45)",4201.767736185383,25060,0.1676683055141813,0.009906790776959636
CA,"[25,35)","[40,45)",21083.440096015096,83157,0.2535377670672955,0.03287386275497336
CA,"[35,45)","[40,45)",631796.5736052346,1817984,0.34752592630366086,0.718690627448531
CA,"[45,55)","[40,45)",84758.69605117105,320800,0.2642103991620045,0.12681957227648247
CA,"[55,65)","[40,45)",23861.654445288113,107640,0.22168017879308913,0.04255255224389207
CA,"[65,75)","[40,45)",26052.530382190907,127874,0.20373594618289026,0.05055151491671733
CA,"[75,100)","[40,45)",10130.025316350317,47063,0.2152439350732065,0.018605079582444187
CA,"[0,25)","[45,50)",5382.627633477633,31414,0.17134486641235222,0.01231725458613256
CA,"[25,35)","[45,50)",10446.134621587562,50933,0.20509560837939178,0.019970545866030743
CA,"[35,45)","[45,50)",59250.83692002442,236872,0.25013862727559366,0.09287619304534259
CA,"[45,55)","[45,50)",712692.0108696859,1920304,0.37113499262079647,0.7529405122164863
CA,"[55,65)","[45,50)",36231.360642032545,131524,0.27547337856233495,0.05156982849005217
CA,"[65,75)","[45,50)",23931.794018644752,106489,0.2247348929809159,0.04175374430580857
CA,"[75,100)","[45,50)",16425.369003219002,72870,0.2254064636094278,0.02857192149014706
CA,"[0,25)","[50,55)",5530.002709545357,29599,0.186830727711928,0.011529920179872831
CA,"[25,35)","[50,55)",14065.400200289907,72278,0.19460140292052777,0.02815499073485079
CA,"[35,45)","[50,55)",21860.10042335116,87073,0.2510548668743601,0.03391819790608017
CA,"[45,55)","[50,55)",795509.0419741207,1892044,0.4204495466142017,0.7370220715837464
CA,"[55,65)","[50,55)",98882.38653178606,300792,0.3287400812913444,0.11716976082787624
CA,"[65,75)","[50,55)",24202.165899541636,86013,0.2813779998319049,0.03350528816620162
CA,"[75,100)","[50,55)",25248.929317904316,99348,0.2541463272325997,0.03869977060137187
CA,"[0,25)","[55,60)",3486.4656204906205,17899,0.19478549754123808,0.00741826910922333
CA,"[25,35)","[55,60)",16136.311804861805,81907,0.19700772589475632,0.03394648683888236
CA,"[35,45)","[55,60)",13008.969118381618,63105,0.2061479933187801,0.02615396793885347
CA,"[45,55)","[55,60)",73475.91172022422,228416,0.3216758533562632,0.09466737565519616
CA,"[55,65)","[55,60)",864241.7066196273,1822285,0.47426264641350135,0.7552489258450772
CA,"[65,75)","[55,60)",36865.7403349918,103900,0.35481944499510876,0.043061520780395775
CA,"[75,100)","[55,60)",25794.59269064269,95315,0.27062469381149545,0.039503453832371735
CA,"[0,25)","[60,65)",1645.8262265512265,8559,0.192291882994652,0.004050468295466968
CA,"[25,35)","[60,65)",13434.355374037727,69770,0.19255203345331412,0.03301801296585236
CA,"[35,45)","[60,65)",15874.020387945387,87531,0.18135312504079,0.04142324341284252
CA,"[45,55)","[60,65)",25183.43873463138,83909,0.3001279807247301,0.03970916511325363
CA,"[55,65)","[60,65)",819859.7234020795,1577545,0.5197060771021299,0.7465587109676876
CA,"[65,75)","[60,65)",84014.4465338583,212565,0.3952412040263369,0.10059443781118542
CA,"[75,100)","[60,65)",22435.797585747587,73210,0.30645810115759575,0.0346459614337115
CA,"[0,25)","[65,70)",716.3194444444445,3950,0.18134669479606189,0.002319012793318425
CA,"[25,35)","[65,70)",6902.7907398157395,33836,0.2040072922276788,0.019864839715119553
CA,"[35,45)","[65,70)",16694.72629037629,90400,0.18467617577849876,0.0530731029154394
CA,"[45,55)","[65,70)",14466.329987822635,61519,0.2351522291946006,0.03611730329928005
CA,"[55,65)","[65,70)",60947.38640190219,153763,0.3963722508139292,0.09027300357949898
CA,"[65,75)","[65,70)",730941.4819235632,1296939,0.5635897154172734,0.761422312190786
CA,"[75,100)","[65,70)",24420.269769119768,62904,0.3882148952231936,0.03693042550655752
CA,"[0,25)","[70,75)",357.0940476190476,1632,0.21880762721755367,0.001358051196532975
CA,"[25,35)","[70,75)",3232.076814851815,16249,0.19890927533090128,0.013521430081166859
CA,"[35,45)","[70,75)",10639.998218448218,57842,0.18394934854341513,0.0481325963908458
CA,"[45,55)","[70,75)",14304.159524870554,70416,0.2031379164518086,0.058595914862172783
CA,"[55,65)","[70,75)",18206.35371850372,51208,0.3555372933624379,0.04261218484807634
CA,"[65,75)","[70,75)",532754.3441626184,900635,0.5915319126645293,0.7494537006062967
CA,"[75,100)","[70,75)",45296.37183649684,103740,0.436633620941747,0.08632612201490861
CA,"[0,25)","[75,80)",180.55714285714285,1184,0.15249758687258685,0.0013851241873801617
CA,"[25,35)","[75,80)",1254.594128094128,7024,0.1786153371432415,0.008217155652160689
CA,"[35,45)","[75,80)",6052.661618936619,33738,0.1794019093881267,0.039469020129925585
CA,"[45,55)","[75,80)",13343.14423011629,67511,0.19764400216433306,0.0789789856539038
CA,"[55,65)","[75,80)",9806.275699300699,35949,0.27278298977164034,0.042055599165649854
CA,"[65,75)","[75,80)",28351.482378405908,67424,0.4204954078429922,0.07887720710297298
CA,"[75,100)","[75,80)",398620.1196386946,641967,0.6209355303912735,0.7510169081080069
CA,"[0,25)","[80,85)",184.90595238095239,929,0.19903762366087446,0.0015053456785722387
CA,"[25,35)","[80,85)",661.6688672438672,3794,0.17439875256823067,0.006147773417118486
CA,"[35,45)","[80,85)",2959.1501276501276,15887,0.18626236090200338,0.025743193536573904
CA,"[45,55)","[80,85)",9316.549125874126,47289,0.19701302894698822,0.07662679418084241
CA,"[55,65)","[80,85)",10717.171331446332,45546,0.23530433696584402,0.07380244809069018
CA,"[65,75)","[80,85)",9140.496311858076,23835,0.3834905102520695,0.03862208207617795
CA,"[75,100)","[80,85)",309373.8368825619,479854,0.64472493067175,0.7775523630200248
CA,"[0,25)","[85,100)",105.10714285714286,570,0.1843984962406015,8.945189528164792e-4
CA,"[25,35)","[85,100)",618.1301587301588,3586,0.1723731619437141,0.0056276227452629725
CA,"[35,45)","[85,100)",1499.5367771117772,8064,0.185954461447393,0.012655089185108928
CA,"[45,55)","[85,100)",7365.210556110556,36637,0.20103203199253641,0.05749559802515324
CA,"[55,65)","[85,100)",16051.809496059495,67160,0.23900847969117772,0.10539630328272763
CA,"[65,75)","[85,100)",11139.017742551567,40116,0.277670199983836,0.0629553023003261
CA,"[75,100)","[85,100)",343103.1645271395,481081,0.7131920914090133,0.7549755655086047
