stabbr,variable,2020,2040,change,pct_change
AK,wcpop_state,751328.1283759625,819954.0551356109,68625.92675964837,9.133948825792949
AK,wcpit_pc,0,0,0,NaN
AK,wcpit_level,0,0,0,NaN
AK,wcpit_level_pc2020,0,0,0,NaN
AL,wcpop_state,4911277.689110059,5056796.457293762,145518.7681837026,2.9629513416919235
AL,wcpit_pc,882.927483840499,858.1697765091226,-24.757707331376423,-2.804047646550428
AL,wcpit_level,4336302052.487925,4339589885.607911,3287833.119986534,0.07582112777637715
AL,wcpit_level_pc2020,4336302052.487926,4464784572.33193,128482519.84400463,2.9629513416919053
AR,wcpop_state,3038491.345688663,3217534.5514366427,179043.2057479797,5.892503396530168
AR,wcpit_pc,1159.5076666898574,1133.8559200920745,-25.651746597782903,-2.2122964198255857
AR,wcpit_level,3523154010.496786,3648220599.247235,125066588.7504487,3.5498473350250603
AR,wcpit_level_pc2020,3523154010.4967866,3730755980.2302985,207601969.73351192,5.8925033965301665
AZ,wcpop_state,7268693.650408764,9166279.06012105,1897585.4097122857,26.106278527855864
AZ,wcpit_pc,571.4006379518528,561.4709947348188,-9.929643217034027,-1.7377725115299427
AZ,wcpit_level,4153336188.9201493,5146599821.903105,993263632.9829555,23.914838284285388
AZ,wcpit_level_pc2020,4153336188.92015,5237617702.5978775,1084281513.6777277,26.106278527855853
CA,wcpop_state,40438639.916706294,46467001.49030135,6028361.573595054,14.907429097546318
CA,wcpit_pc,1350.7994990682191,1307.27383110022,-43.5256679679992,-3.2222152879108394
CA,wcpit_level,54624494542.486946,60745095057.965866,6120600515.47892,11.204864350219873
CA,wcpit_level_pc2020,54624494542.48695,62767602336.301254,8143107793.814301,14.907429097546318
CO,wcpop_state,5843359.319179878,7692906.90599375,1849547.5868138727,31.65212826709173
CO,wcpit_pc,1211.9084378898312,1193.8481785372408,-18.060259352590492,-1.490232990211449
CO,wcpit_level,7081616464.536274,9184162897.3772,2102546432.8409252,29.69020481934002
CO,wcpit_level_pc2020,7081616464.536273,9323098791.27478,2241482326.7385073,31.652128267091722
CT,wcpop_state,3593541.857374866,3542707.325803369,-50834.53157149721,-1.4146080270964916
CT,wcpit_pc,1664.0551503009233,1586.6819862065822,-77.37316409434106,-4.64967546780821
CT,wcpit_level,5979851835.586592,5621149896.254298,-358701939.3322935,-5.998508812503157
CT,wcpit_level_pc2020,5979851835.586592,5895260371.511907,-84591464.0746851,-1.4146080270964962
DC,wcpop_state,732551.9941204431,1058819.5762361488,326267.5821157057,44.538488016464555
DC,wcpit_pc,3049.9717083690493,3016.4599400562047,-33.51176831284465,-1.0987566940666749
DC,wcpit_level,2234262856.9766817,3193886835.4636297,959623978.486948,42.9503617038809
DC,wcpit_level_pc2020,2234262856.9766817,3229369751.7875595,995106894.8108778,44.53848801646455
DE,wcpop_state,987393.1139779063,1164343.8981806585,176950.78420275217,17.921006506706465
DE,wcpit_pc,1182.1824366246165,1120.9278497050095,-61.254586919606936,-5.181483417610388
DE,wcpit_level,1167278797.388769,1305145502.104794,137866704.7160251,11.8109491086822
DE,wcpit_level_pc2020,1167278797.388769,1376466906.6202152,209188109.23144627,17.921006506706465
FL,wcpop_state,21877256.72261596,28886983.323555503,7009726.600939542,32.04115895249849
FL,wcpit_pc,0,0,0,NaN
FL,wcpit_level,0,0,0,NaN
FL,wcpit_level_pc2020,0,0,0,NaN
GA,wcpop_state,10725350.805434817,12820270.562845577,2094919.757410759,19.532412462902453
GA,wcpit_pc,1132.2232399563113,1099.9740857043416,-32.249154251969685,-2.848303507108198
GA,wcpit_level,12143491438.597443,14101965390.848349,1958473952.250906,16.127766566590566
GA,wcpit_level_pc2020,12143491438.597443,14515408273.781542,2371916835.184099,19.532412462902453
HI,wcpop_state,1453902.3499037495,1619703.4324594338,165801.08255568426,11.40386646783125
HI,wcpit_pc,1614.3804983397138,1558.4705640595444,-55.90993428016941,-3.463243909206607
HI,wcpit_level,2347151600.174896,2524260121.9942336,177108521.81933784,7.545678847763424
HI,wcpit_level_pc2020,2347151600.1748962,2614817634.4564056,267666034.2815094,11.403866467831241
IA,wcpop_state,3184239.797625411,3392783.104848681,208543.30722327018,6.549233741089084
IA,wcpit_pc,1288.7277218429315,1264.3942322916598,-24.33348955127167,-1.8881792591901272
IA,wcpit_level,4103618100.1953926,4289815389.187262,186197288.99186945,4.53739320876384
IA,wcpit_level_pc2020,4103618100.195393,4372373641.418828,268755541.2234349,6.549233741089069
ID,wcpop_state,1777249.2925173526,2227841.736663116,450592.4441457635,25.353361852097294
ID,wcpit_pc,1059.887629494683,1039.9017708280544,-19.9858586666287,-1.8856582632403445
ID,wcpit_level,1883684539.6673193,2316736567.0806227,433052027.4133034,22.989625826083675
ID,wcpit_level_pc2020,1883684539.6673195,2361261897.161188,477577357.4938686,25.35336185209729
IL,wcpop_state,12791188.005270036,12397564.330196118,-393623.67507391796,-3.077303491370332
IL,wcpit_pc,1237.3186365090703,1205.72929458248,-31.58934192659035,-2.5530482605285467
IL,wcpit_level,15826775302.011896,14948106494.38828,-878668807.6236153,-5.551786708641267
IL,wcpit_level_pc2020,15826775302.011896,15339737393.071747,-487037908.9401493,-3.0773034913703308
IN,wcpop_state,6737581.431449402,7095000.250901836,357418.81945243385,5.304853426840812
IN,wcpit_pc,1221.2159848245115,1195.1018647805977,-26.114120043913772,-2.1383703102826948
IN,wcpit_level,8228042143.142824,8479248030.471593,251205887.32876873,3.0530457058745313
IN,wcpit_level_pc2020,8228042143.142823,8664527718.73524,436485575.5924177,5.304853426840806
KS,wcpop_state,2936212.2204559683,3032652.715673199,96440.49521723064,3.284520599204313
KS,wcpit_pc,840.60815603315,818.0042358754594,-22.603920157690595,-2.6889960554700107
KS,wcpit_level,2468203940.3594923,2480722767.359892,12518827.00039959,0.5072039143806014
KS,wcpit_level_pc2020,2468203940.3594923,2549272607.2109723,81068666.85148,3.284520599204311
KY,wcpop_state,4498532.653857135,4714761.078462057,216228.4246049216,4.806643437822395
KY,wcpit_pc,1129.7075468306514,1096.2686437481875,-33.43890308246387,-2.9599610249816735
KY,wcpit_level,5082026288.726524,5168644733.082341,86618444.35581684,1.7044076404713375
KY,wcpit_level_pc2020,5082026288.726524,5326301171.842007,244274883.11548233,4.806643437822392
LA,wcpop_state,4742900.156606434,5062779.967176663,319879.81057022884,6.744392671320837
LA,wcpit_pc,715.0631516163841,708.9618556024885,-6.101296013895535,-0.853252751187597
LA,wcpit_level,3391473133.784838,3589317880.0366726,197844746.2518344,5.833593204114294
LA,wcpit_level_pc2020,3391473133.784838,3620207399.269638,228734265.48479986,6.744392671320839
MA,wcpop_state,6982092.070795856,7742628.269423899,760536.1986280428,10.892669287607273
MA,wcpit_pc,1577.020230556238,1535.219004312796,-41.80122624344199,-2.650646163790688
MA,wcpit_level,11010900447.251364,11886630062.549065,875729615.2977009,7.953297003210197
MA,wcpit_level_pc2020,11010900447.251362,12210281418.558123,1199380971.3067608,10.892669287607273
MD,wcpop_state,6161345.310949206,6842901.782790983,681556.4718417767,11.061812598469299
MD,wcpit_pc,2286.7287628882705,2219.0629434729,-67.6658194153706,-2.9590662659048714
MD,wcpit_level,14089325540.634325,15184829772.016113,1095504231.3817883,7.775419967565508
MD,wcpit_level_pc2020,14089325540.634325,15647860328.327566,1558534787.6932411,11.061812598469304
ME,wcpop_state,1338780.4762898574,1326159.3139775184,-12621.16231233906,-0.9427357610798076
ME,wcpit_pc,1082.4556878860246,1013.1142777331357,-69.3414101528889,-6.405935220157491
ME,wcpit_level,1449170541.3907173,1343550935.5394042,-105619605.85131311,-7.2882799390852755
ME,wcpit_level_pc2020,1449170541.3907173,1435508692.4579933,-13661848.932723999,-0.9427357610797974
MI,wcpop_state,9992315.264745263,9960115.36330584,-32199.90143942274,-0.32224665241528105
MI,wcpit_pc,982.7466576807082,951.9123323494797,-30.834325331228456,-3.1375660339560727
MI,wcpit_level,9819914428.920328,9481156645.954348,-338757782.96598053,-3.4497019848596175
MI,wcpit_level_pc2020,9819914428.920328,9788270083.403088,-31644345.517240524,-0.322246652415277
MN,wcpop_state,5683665.745542756,6364886.461285338,681220.7157425815,11.985587229101366
MN,wcpit_pc,1306.1499737626825,1271.3839007693887,-34.76607299329385,-2.6617213713323995
MN,wcpit_level,7423719864.416529,8092214177.103224,668494312.6866951,9.004842921012292
MN,wcpit_level_pc2020,7423719864.416529,8313496284.410297,889776419.9937687,11.985587229101366
MO,wcpop_state,6161471.256161243,6359969.943915249,198498.68775400613,3.2216118440139567
MO,wcpit_pc,1030.6600754496167,1002.6984603822609,-27.96161506735575,-2.7129812955214874
MO,wcpit_level,6350382429.75579,6377132070.841274,26749641.085484505,0.4212288217500814
MO,wcpit_level_pc2020,6350382429.755791,6554967102.252985,204584672.4971943,3.2216118440139634
MS,wcpop_state,2990498.413455545,2962160.018212178,-28338.39524336718,-0.9476144550306561
MS,wcpit_pc,635.9111113174691,615.5355317189207,-20.375579598548484,-3.204155303456599
MS,wcpit_level,1901691169.4936438,1823314741.8467605,-78376427.64688325,-4.1214067196700634
MS,wcpit_level_pc2020,1901691169.493644,1883670469.0814805,-18020700.412163496,-0.9476144550306662
MT,wcpop_state,1074634.5451293332,1236303.8825375128,161669.33740817965,15.044122501079901
MT,wcpit_pc,1115.5428444162085,1097.374798973892,-18.168045442316497,-1.6286282085224875
MT,wcpit_level,1198800877.1814947,1356688724.5702453,157887847.38875055,13.17048146978014
MT,wcpit_level_pc2020,1198800877.1814947,1379149949.6886992,180349072.50720453,15.044122501079906
NC,wcpop_state,10568032.768898653,12658926.638546817,2090893.8696481641,19.78508124805963
NC,wcpit_pc,1132.280976694728,1102.2489890722861,-30.031987622441875,-2.652344094847293
NC,wcpit_level,11965982465.310457,13953289090.078463,1987306624.7680054,16.60796871906869
NC,wcpit_level_pc2020,11965982465.310457,14333461818.2007,2367479352.8902435,19.785081248059637
ND,wcpop_state,789402.51546414,1060457.422521227,271054.90705708705,34.33671691528835
ND,wcpit_pc,301.7191598670803,299.268742453937,-2.4504174131432706,-0.8121517421110348
ND,wcpit_level,238177863.7628002,317361759.26387095,79183895.50107077,33.24569892856605
ND,wcpit_level_pc2020,238177863.7628002,319960322.59791404,81782458.83511385,34.33671691528835
NE,wcpop_state,1956876.0482607684,2190917.563563157,234041.51530238846,11.959956048846312
NE,wcpit_pc,1127.938119910366,1101.0574975422242,-26.880622368141758,-2.383164634091619
NE,wcpit_level,2207235090.7728777,2412326209.8581567,205091119.085279,9.291765971945697
NE,wcpit_level_pc2020,2207235090.7728777,2471219437.524027,263984346.75114918,11.959956048846312
NH,wcpop_state,1352917.4855513305,1393451.372117553,40533.88656622241,2.996035382727303
NH,wcpit_pc,85.50622400501513,83.66740999151772,-1.8388140134974122,-2.1505031182169403
NH,wcpit_level,115682865.57985388,116586467.2542022,903601.6743483245,0.7811024301819218
NH,wcpit_level_pc2020,115682865.57985388,119148765.16437916,3465899.584525287,2.996035382727303
NJ,wcpop_state,9088074.24352124,9470012.098935861,381937.85541462153,4.20262692821749
NJ,wcpit_pc,1226.3981307999404,1185.0224810914078,-41.37564970853259,-3.373753487502837
NJ,wcpit_level,11145597264.825531,11222177233.446625,76579968.62109375,0.6870871681571791
NJ,wcpit_level_pc2020,11145597264.825531,11614005136.78776,468407871.9622288,4.202626928217481
NM,wcpop_state,2099134.386175225,2127317.67948868,28183.293313454837,1.3426150083133477
NM,wcpit_pc,703.8791282085726,702.0055695104825,-1.8735586980901644,-0.26617619744721194
NM,wcpit_level,1477536881.7336545,1493388859.1191688,15851977.38551426,1.0728650892906637
NM,wcpit_level_pc2020,1477536881.7336547,1497374513.6611757,19837631.92752099,1.342615008313341
NV,wcpop_state,3119264.755255938,4058371.2189145912,939106.4636586532,30.106660939128872
NV,wcpit_pc,0,0,0,NaN
NV,wcpit_level,0,0,0,NaN
NV,wcpit_level_pc2020,0,0,0,NaN
NY,wcpop_state,20031150.391204506,20873487.75014816,842337.3589436524,4.205137211258296
NY,wcpit_pc,1862.0239272994834,1808.7390717714227,-53.28485552806069,-2.8616633087707086
NY,wcpit_level,37298481319.757195,37754692857.835144,456211538.0779495,1.2231370338295569
NY,wcpit_level_pc2020,37298481319.757195,38866933636.96853,1568452317.2113342,4.205137211258296
OH,wcpop_state,11705262.032378286,11751540.464269066,46278.431890780106,0.39536433924134207
OH,wcpit_pc,786.5713836836841,759.0296099080721,-27.541773775612,-3.50149704742981
OH,wcpit_level,9207024153.187881,8919767174.413074,-287256978.774807,-3.1199763788535932
OH,wcpit_level_pc2020,9207024153.187881,9243425443.394922,36401290.20704079,0.39536433924132847
OK,wcpop_state,4001180.454140159,4439037.713699851,437857.25955969235,10.943202001964854
OK,wcpit_pc,871.590201081492,853.0119914955147,-18.57820958597722,-2.1315303410851674
OK,wcpit_level,3487389676.5873566,3786552400.4868064,299162723.8994498,8.578413989921554
OK,wcpit_level_pc2020,3487389676.5873566,3869021773.4919796,381632096.90462303,10.943202001964849
OR,wcpop_state,4267533.799966899,5164040.6080865115,896506.8081196127,21.007608847212094
OR,wcpit_pc,1909.154493060078,1887.4676253361629,-21.686867723915157,-1.135940952015595
OR,wcpit_level,8147381328.492553,9746959463.684563,1599578135.19201,19.633033863261776
OR,wcpit_level_pc2020,8147381328.492553,9858951329.273062,1711570000.780509,21.007608847212108
PA,wcpop_state,12844884.682541594,12809150.178074736,-35734.50446685776,-0.2782002746620769
PA,wcpit_pc,877.8184356752952,842.7211800208031,-35.09725565449207,-3.998236335454971
PA,wcpit_level,11275476578.458223,10794542153.130821,-480934425.3274021,-4.265313505650186
PA,wcpit_level_pc2020,11275476578.458223,11244108171.647493,-31368406.81072998,-0.27820027466208624
RI,wcpop_state,1062333.895249624,1055318.2224670723,-7015.67278255173,-0.6604018580150084
RI,wcpit_pc,1103.4384112226883,1077.9813430602765,-25.457068162411815,-2.3070674270078717
RI,wcpit_level,1172220025.562255,1137613354.811038,-34606670.75121689,-2.9522333688692797
RI,wcpit_level_pc2020,1172220025.562255,1164478662.7334177,-7741362.828837156,-0.66040185801501
SC,wcpop_state,5184564.437495797,6352502.134922484,1167937.697426687,22.527209595080546
SC,wcpit_pc,1131.7373812961062,1099.8426244571453,-31.894756838960802,-2.8182118366041586
SC,wcpit_level,5867565379.652412,6986752619.942763,1119187240.290351,19.074133271211206
SC,wcpit_level_pc2020,5867565379.652412,7189364130.855096,1321798751.2026834,22.52720959508056
SD,wcpop_state,891688.0133264966,1043032.2762363397,151344.26290984312,16.972782032276527
SD,wcpit_pc,0,0,0,NaN
SD,wcpit_level,0,0,0,NaN
SD,wcpit_level_pc2020,0,0,0,NaN
TN,wcpop_state,6861855.960406318,7823662.491105372,961806.5306990538,14.016711167485674
TN,wcpit_pc,45.077465056491654,43.381525893573524,-1.6959391629181297,-3.7622771395701977
TN,wcpit_level,309315072.2778948,339402416.94046766,30087344.66257286,9.727086507941584
TN,wcpit_level_pc2020,309315072.2778948,352670872.55658686,43355800.27869207,14.016711167485674
TX,wcpop_state,29604099.489181202,40015912.84113581,10411813.351954605,35.170174170504986
TX,wcpit_pc,0,0,0,NaN
TX,wcpit_level,0,0,0,NaN
TX,wcpit_level_pc2020,0,0,0,NaN
UT,wcpop_state,3240568.975306131,4344338.8632934,1103769.887987269,34.060990412432055
UT,wcpit_pc,1273.0356664360306,1264.7071929280482,-8.32847350798238,-0.6542215373508454
UT,wcpit_level,4125359885.1107655,5494316608.924024,1368956723.8132582,33.183934539968064
UT,wcpit_level_pc2020,4125359885.1107655,5530498320.056662,1405138434.9458961,34.06099041243206
VA,wcpop_state,8655021.326799735,9876728.20122109,1221706.8744213544,14.115584795134067
VA,wcpit_pc,1361.2276975594114,1315.1853506043515,-46.042346955059884,-3.3824133198002566
VA,wcpit_level,11781454753.007206,12989728242.146845,1208273489.139639,10.255724055055495
VA,wcpit_level_pc2020,11781454753.007206,13444475988.768291,1663021235.7610855,14.11558479513407
VT,wcpop_state,622868.3341247839,601865.3693404896,-21002.96478429425,-3.3719750441008243
VT,wcpit_pc,1193.5062788972778,1143.8309553638342,-49.67532353344359,-4.1621334057279
VT,wcpit_level,743397267.704217,688432240.4131391,-54965027.29107785,-7.393762350085385
VT,wcpit_level_pc2020,743397267.7042171,718330097.3587035,-25067170.345513582,-3.3719750441008225
WA,wcpop_state,7681818.417090161,9776125.552155716,2094307.1350655556,27.263168970594727
WA,wcpit_pc,0,0,0,NaN
WA,wcpit_level,0,0,0,NaN
WA,wcpit_level_pc2020,0,0,0,NaN
WI,wcpop_state,5837176.390488933,5997136.793665185,159960.4031762518,2.7403729556107046
WI,wcpit_pc,1309.378142401184,1269.0495124684915,-40.32862993269259,-3.079983438453961
WI,wcpit_level,7643071179.046448,7610663524.207654,-32407654.838793755,-0.42401351602795023
WI,wcpit_level_pc2020,7643071179.046448,7852519834.615112,209448655.56866455,2.740372955610698
WV,wcpop_state,1801966.0658414897,1661849.2298883356,-140116.83595315414,-7.7757755048357025
WV,wcpit_pc,1028.417128378703,1007.2075038094962,-21.209624569206767,-2.062356215579926
WV,wcpit_level,1853172766.8685737,1673827014.543564,-179345752.32500958,-9.677767530982107
WV,wcpit_level_pc2020,1853172766.8685737,1709074212.800121,-144098554.0684526,-7.7757755048357025
WY,wcpop_state,585379.5914816796,615786.9993410456,30407.407859366038,5.194476934599058
WY,wcpit_pc,0,0,0,NaN
WY,wcpit_level,0,0,0,NaN
WY,wcpit_level_pc2020,0,0,0,NaN
